"iata","name","city","subd","country","lat","lon","iso"
"LZH","Bailian Airport","Liuzhou","Guangxi","China","24.2075","109.391","CN"
"ZHA","Zhanjiang Airport","Zhanjiang","Guangdong","China","21.2144","110.358","CN"
"AYN","Anyang Airport","Anyang","Henan","China","36.1339","114.344","CN"
"CGO","Xinzheng Airport","Zhengzhou","Henan","China","34.5197","113.841","CN"
"EHU","Ezhou Huahu Airport","Ezhou","Hubei","China","30.34286","115.02961","CN"
"ENH","Enshi Airport","Enshi","Hubei","China","30.3203","109.485","CN"
"LHK","Guangzhou MR Air Base","Guanghua","Hubei","China","32.3894","111.695","CN"
"WUH","Wuhan Tianhe International Airport","Wuhan","Hubei","China","30.7838","114.208","CN"
"LYA","Luoyang Airport","Luoyang","Henan","China","34.7411","112.388","CN"
"NNY","Nanyang Airport","Nanyang","Henan","China","32.9808","112.615","CN"
"SHS","Shashi Airport","Shashi","Hubei","China","30.3244","112.281","CN"
"XFN","Xiangfan Airport","Xiangfan","Hubei","China","32.1506","112.291","CN"
"YIH","Yichang Airport","Yichang","Hubei","China","30.55655","111.47999","CN"
"HAK","Haikou Meilan International Airport","Haikou","Hainan","China","19.9349","110.459","CN"
"SYX","Sanya Phoenix International Airport","Sanya","Hainan","China","18.3029","109.412","CN"
"RGO","Orang Airport","","Hamgyong-bukto","Korea (Democratic People's Republic of)","41.4281","129.647","KP"
"FNJ","Sunan International Airport","Pyongyang","South Pyongan","Korea (Democratic People's Republic of)","39.2241","125.67","KP"
"DSO","Sondok Airport","","Hamgyong-namdo","Korea (Democratic People's Republic of)","39.7452","127.474","KP"
"YJS","Samjiyon Airport","Samjiyon","Yanggang-do","Korea (Democratic People's Republic of)","41.9059","128.41","KP"
"AKA","Ankang Airport","Ankang","Shaanxi","China","32.7081","108.931","CN"
"DNH","Dunhuang Airport","Dunhuang","Gansu","China","40.1611","94.8092","CN"
"GOQ","Golmud Airport","Golmud","Qinghai","China","36.4006","94.7861","CN"
"GYU","Guyuan Liupanshan Airport","Guyuan","Ningsia-Hui-Autonomous-Region","China","36.07889","106.21694","CN"
"HZG","Hanzhong Airport","Hanzhong","Shaanxi","China","33.0636","107.008","CN"
"INC","Yinchuan Hedong International Airport","Yinchuan","Ningxia Hui Autonomous Region","China","38.321","106.38978","CN"
"JIC","Jinchuan Airport","Jinchang","Gansu","China","38.54222","102.34833","CN"
"JNG","Jining Qufu Airport","Jining","Shandong","China","35.29278","116.34667","CN"
"JGN","Jiayuguan Airport","Jiayuguan","Gansu","China","39.8569","98.3414","CN"
"LHW","Lanzhou Zhongchuan Airport","Lanzhou","Gansu","China","36.5152","103.62","CN"
"IQN","Qingyang Airport","Qingyang","Gansu","China","35.7997","107.603","CN"
